Firefly,UPSO,Guide_DE,chaotic_deepso,evdeepso,EPSO,DESS,CUMDANCauchy,PSO_GBP,VNSDEEPSO,GMVNPSO,HL_PS_VNSO,ABC_DE,HFEABC,CE_CMAES,AJSO,GASAPSO
2726.796786,279.5473081,397.2316591,242.307879,390.4481207,317.8923713,286.8350268,54.9144269,97.11266027,110.523771,103.0400694,98.20420445,289.2725778,197.9979546,1672.106018,835.4496535,387.520881
2902.044217,339.4147167,380.2611013,256.3103052,360.9308873,315.3579424,263.1900836,55.0541087,96.46975469,109.7595027,103.3876226,94.79756083,277.2376778,172.0595754,1903.409622,370.9199526,479.7507435
3554.676118,488.8218705,386.8372724,246.5994794,487.3755316,272.9669606,298.9527406,53.8225123,95.68857346,112.680637,103.6108408,100.2704301,314.3634291,172.1101256,1385.847743,360.9792053,538.1021461
3513.017829,111.8173295,661.0339299,244.0651666,403.7412291,288.2145868,329.5683232,53.3153504,95.72796806,117.9976251,102.9412288,113.2150922,334.677697,182.2695746,1384.743801,377.2483142,368.9311962
3450.272073,113.1874187,642.6052711,245.9825776,512.9960768,303.7695783,304.3433479,53.3267198,96.38598213,116.9141476,103.5546195,109.193275,303.6618973,176.6247137,1386.992541,432.6874972,338.7820575
2158.828034,112.0486074,365.4846628,253.3674515,575.4905445,330.7851772,300.8528602,53.6187457,96.14646958,116.8212379,102.8320425,113.1068849,586.6772288,169.3275464,1384.474489,1200.601755,358.3823911
2151.155385,112.126464,386.8587089,248.4911256,844.3285469,325.1623328,326.7811052,54.2240848,98.48649391,116.9568199,106.5266311,99.82075329,787.1512668,172.1328533,1381.326207,316.2640523,346.6794979
2121.822322,114.3319306,363.0655983,241.7996869,813.9919802,334.2050215,328.5551407,53.094262,95.63166621,116.4564147,103.0681612,97.37281439,2157.962279,160.8541524,1417.657144,322.8080149,480.5584954
3276.542279,110.5182687,510.1081056,256.8803336,1441.405714,264.5992633,355.8811704,53.1680727,96.69767235,120.7814355,104.1144095,98.7208956,7208.461124,178.7795294,1393.10643,319.9962699,523.1012718
2134.178448,110.9281228,825.3265349,244.8015407,1275.718368,286.9320875,455.4146317,54.4281447,97.61615003,116.7859342,103.1609161,95.81841389,1643.003764,201.3486994,1387.227019,318.6277533,543.089122
2116.903642,114.2262634,944.8516533,251.4754109,483.4921402,340.6266082,725.8683901,54.0087274,92.24117335,118.651587,104.3755271,99.22768085,293.8506026,221.9064205,1381.832214,318.6712122,549.4998834
3402.263352,115.2522638,889.995311,243.3705927,335.0026343,271.2849342,705.8071955,54.5408905,95.15850255,116.3652011,102.6387384,96.77876105,277.9625395,246.6683525,1389.004962,322.3050689,685.2314456
2154.030961,113.8921299,1022.8311,240.0514265,314.9706625,276.2696271,670.0725736,53.3028572,93.77478634,117.6233572,103.5824128,99.32591477,280.5221224,248.2652668,1393.731842,318.2251442,1021.100451
3394.759052,113.8279896,1127.986031,243.8943915,288.2821438,274.891258,683.952963,52.8978773,95.28003579,116.8370055,101.5821,108.0236021,275.370773,157.5545042,1390.120779,322.0782767,898.3942902
2168.269138,120.7621005,1030.674802,247.1979055,316.0254881,307.9021722,485.1084242,53.1719587,94.74540904,117.6462801,102.5578618,110.4614472,334.8460309,154.7059636,1377.195262,323.518882,877.6247856
3424.700022,112.2346351,1171.792797,249.4195124,306.8910564,326.9441141,263.4363829,53.1833719,93.9592278,116.3185104,102.2707577,100.7409416,275.0263694,149.2772469,1401.495879,335.1225943,945.0407625
3445.910567,112.3335303,1009.922521,249.5912068,305.6588591,329.452742,280.6516532,53.7238496,94.04524772,119.533122,101.8963123,96.76456666,273.152236,151.3013642,1386.66545,327.5388326,847.8362087
2170.588348,113.0119665,1352.858559,238.7498933,318.6236478,341.0080453,299.7194585,54.6232532,93.93618458,114.3912687,102.5643408,97.74853547,268.5007133,158.9881493,1400.742381,319.7901991,839.2239795
3399.226625,115.7081794,1275.906812,253.8636346,327.7465202,351.8364107,324.5347165,53.4711602,94.23202102,125.0333809,103.0782061,93.65134965,286.8587056,149.8707414,1421.372559,323.5098646,807.0033948
2139.91365,114.0406433,975.2704115,248.8451414,294.881624,361.0422757,321.5206679,52.7840748,93.81785391,118.8267486,103.1579861,98.73853564,321.2064327,153.3381727,1380.858201,328.8759746,322.134857
